timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1587663503486,13802,https://www.driveu.in/,200,OK,Thread Group 1-1,text,true,,1270088,18710,1,1,https://www.driveu.in/,950,0,735
1587663503486,1140,https://www.driveu.in/-0,200,OK,Thread Group 1-1,text,true,,32126,402,1,1,https://www.driveu.in/,950,0,735
1587663504714,5780,https://www.driveu.in/-1,200,OK,Thread Group 1-1,text,true,,44034,420,1,1,https://wchat.freshchat.com/js/widget.js,4505,0,3963
1587663504715,1183,https://www.driveu.in/-2,200,OK,Thread Group 1-1,bin,true,,3897,431,1,1,https://www.driveu.in/static/web/images/favicon.png,1183,0,886
1587663504714,393,https://www.driveu.in/-3,200,OK,Thread Group 1-1,text,true,,73346,429,1,1,https://www.driveu.in/static/web/v4/css/style.css,197,0,0
1587663504714,1433,https://www.driveu.in/-4,200,OK,Thread Group 1-1,text,true,,14869,437,1,1,https://www.driveu.in/static/web/v4/css/media-queries.css,1433,0,843
1587663504715,172,https://www.driveu.in/-5,200,OK,Thread Group 1-1,text,true,,7878,438,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500",170,0,107
1587663504715,1413,https://www.driveu.in/-6,200,OK,Thread Group 1-1,text,true,,3741,440,1,1,https://www.driveu.in/static/web/v4/css/owl.carousel.min.css,1413,0,1090
1587663505187,1270,https://www.driveu.in/-7,200,OK,Thread Group 1-1,text,true,,1403,445,1,1,https://www.driveu.in/static/web/v4/css/owl.theme.default.min.css,1270,0,982
1587663505298,963,https://www.driveu.in/-8,200,OK,Thread Group 1-1,text,true,,57487,431,1,1,https://www.driveu.in/static/web/v4/css/animate.css,786,0,477
1587663505899,1160,https://www.driveu.in/-9,200,OK,Thread Group 1-1,bin,true,,599,432,1,1,https://www.driveu.in/static/web/v4/images/close.png,1160,0,853
1587663506133,653,https://www.driveu.in/-10,200,OK,Thread Group 1-1,bin,true,,4972,443,1,1,https://www.driveu.in/static/web/v4/images/google-play-menu.png,653,0,496
1587663506161,1232,https://www.driveu.in/-11,200,OK,Thread Group 1-1,bin,true,,4630,441,1,1,https://www.driveu.in/static/web/v4/images/app-store-menu.png,1232,0,908
1587663506312,151,https://www.driveu.in/-12,200,OK,Thread Group 1-1,bin,true,,560,436,1,1,https://www.driveu.in/static/web/v4/images/menu-icon.png,151,0,0
1587663506460,286,https://www.driveu.in/-13,200,OK,Thread Group 1-1,bin,true,,3243,431,1,1,https://www.driveu.in/static/web/v4/images/logo.png,285,0,0
